Id,Label,timeset,username,category,post_activity,fan_count,talking_about_count,users_can_post,link
223649167822693,Vox,,Vox,Media/News Company,1.1,2024331,351680,no,https://www.facebook.com/Vox/
1616116568689444,Alvin Chang,,alv9n,Journalist,0.01,3204,83,yes,https://www.facebook.com/alv9n/
199848990041080,David Roberts,,davidrobertswrites,Writer,0.01,2765,188,yes,https://www.facebook.com/davidrobertswrites/
438342399587801,Phil Edwards,,philedwardsinc1,Writer,0.01,7717,123,yes,https://www.facebook.com/philedwardsinc1/
285792341874606,Carlos Maza,,CarlosMazaVox,News Personality,0.01,15928,4196,no,https://www.facebook.com/CarlosMazaVox/
311794742573348,Johnny Harris,,JohnnyHarrisVox,Journalist,0.03,40163,1110,yes,https://www.facebook.com/JohnnyHarrisVox/
1785047065086241,Sarah Kliff,,sarahkliff,Journalist,0.02,4235,89,no,https://www.facebook.com/sarahkliff/
571863472910950,Vox Creative,,byvoxcreative,Media/News Company,0,13254,26,yes,https://www.facebook.com/byvoxcreative/
117471031636168,Curbed,,Curbed,Society & Culture Website,0.72,582953,65116,no,https://www.facebook.com/Curbed/
109281389102062,Racked,,rackednational,News & Media Website,0.76,254224,28936,no,https://www.facebook.com/rackednational/
111376838888644,Eater,,eater,Society & Culture Website,0.63,1745168,315561,no,https://www.facebook.com/eater/
340327135979921,Polygon,,polygon,Video Game,0.52,726175,36749,no,https://www.facebook.com/polygon/
193742123995472,The Verge,,verge,Media/News Company,1.04,3483793,153226,no,https://www.facebook.com/verge/
39606211535,SB Nation,,sbnation,Media/News Company,0.97,1378611,54346,no,https://www.facebook.com/sbnation/
218289944904955,"Vox Media, Inc",,voxmediainc,Media/News Company,0.02,18306,167,yes,https://www.facebook.com/voxmediainc/
232843448409,Ezra Klein,,ezraklein,News Personality,0.4,1043457,143652,no,https://www.facebook.com/ezraklein/
742532909103741,Matthew Yglesias,,mattyglesias,Journalist,0.03,38192,872,yes,https://www.facebook.com/mattyglesias/
22898109808,Grist.org,,grist.org,Media/News Company,0.24,283318,9696,yes,https://www.facebook.com/grist.org/
665024873565704,Cinematography Database,,cinematographydb,Community Organization,0.1,75695,1386,yes,https://www.facebook.com/cinematographydb/
21516776437,Slate.com,,Slate,News & Media Website,1.47,1528099,68951,no,https://www.facebook.com/Slate/
103921782727,Atlas Obscura,,atlasobscura,News & Media Website,1.35,1037360,110260,yes,https://www.facebook.com/atlasobscura/
75467339012,Neatorama,,neatoramanauts,Entertainment Website,0.62,130918,5638,yes,https://www.facebook.com/neatoramanauts/
10974002364,Mental Floss,,mentalflossmagazine,Magazine,1.68,2446910,111098,no,https://www.facebook.com/mentalflossmagazine/
451491168371624,Francesca Fiorentini,,Franifio,Public Figure,0.02,85107,3221,no,https://www.facebook.com/Franifio/
405227099595461,Liz Plank,,feministabulous,Journalist,0.03,68013,1198,yes,https://www.facebook.com/feministabulous/
94300828653,Architizer,,Architizer,News & Media Website,0.21,1868957,8459,no,https://www.facebook.com/Architizer/
282738158446876,Curbed Philly,,CurbedPhilly,Textile Company,0.39,17867,1980,yes,https://www.facebook.com/CurbedPhilly/
277053775685865,Aamodt / Plumb,,aamodtplumb,Architectural Designer,0.02,2333,85,yes,https://www.facebook.com/aamodtplumb/
72311242941,Who What Wear,,WhoWhatWear,News & Media Website,1.73,1571451,28483,no,https://www.facebook.com/WhoWhatWear/
225910107814,Public School,,PublicSchool,Social Club,0,21225,28,no,https://www.facebook.com/PublicSchool/
478938988808636,La Perla Lingerie,,laperlamaroc,Clothing (Brand),0,12172,17,yes,https://www.facebook.com/laperlamaroc/
103172802652,Journelle,,journelle,Women's Clothing Store,0.01,40749,298,no,https://www.facebook.com/journelle/
233772506718746,Baserange,,BASErange,Clothing (Brand),0,6737,122,yes,https://www.facebook.com/BASErange/
20668185018,BARE NECESSITIES,,barenecessities,Clothing (Brand),0.06,130818,295,yes,https://www.facebook.com/barenecessities/
207684292605878,Adore Me,,adoremeofficial,Clothing (Brand),0.17,2083725,146580,yes,https://www.facebook.com/adoremeofficial/
32192097511,Agent Provocateur,,agentprovocateur,Retail Company,0.06,465102,2222,yes,https://www.facebook.com/agentprovocateur/
266351330231,UNIQLO USA,,uniqlo.us,Clothing Store,0.05,918684,3907,no,https://www.facebook.com/uniqlo.us/
33331950906,ZARA,,Zara,Clothing (Brand),0.03,26441979,41070,yes,https://www.facebook.com/Zara/
117787631775,Totokaelo,,Totokaelo,Retail Company,0.02,15483,31,yes,https://www.facebook.com/Totokaelo/
59672929326,Topshop,,Topshop,Clothing (Brand),0.13,4295686,10835,yes,https://www.facebook.com/Topshop/
211774705524116,The RealReal,,TheRealRealPage,Retail Company,0.03,219391,4674,yes,https://www.facebook.com/TheRealRealPage/
49501042917,THE OUTNET.COM,,THEOUTNET,Clothing (Brand),0.16,565303,822,yes,https://www.facebook.com/THEOUTNET/
424206420965615,The Dreslyn,,TheDreslyn,Retail Company,0.04,9912,16,no,https://www.facebook.com/TheDreslyn/
34888244242,SSENSE,,SSENSEofficial,Retail Company,0.09,437790,1961,yes,https://www.facebook.com/SSENSEofficial/
111580660349,Rent The Runway,,RentTheRunway,Clothing (Brand),0.05,653670,616,yes,https://www.facebook.com/RentTheRunway/
131423866879291,Pixie Market,,PIXIEMARKET,Clothing (Brand),0.02,109102,84,yes,https://www.facebook.com/PIXIEMARKET/
91863537504,Otte,,OtteNY,Women's Clothing Store,0.01,9500,8,yes,https://www.facebook.com/OtteNY/
22616629151,Madewell,,madewell,Clothing (Brand),0.11,676082,4173,no,https://www.facebook.com/madewell/
41881016652,Aritzia,,aritzia,Clothing (Brand),0.05,189269,220,no,https://www.facebook.com/aritzia/
21415640912,H&M,,hm,Clothing (Brand),0.38,33834980,42907,yes,https://www.facebook.com/hm/
88573992939,Farfetch,,Farfetch,Website,0.05,1632461,9616,yes,https://www.facebook.com/Farfetch/
117127335022717,La Garçonne,,,Women's Clothing Store,0.04,43478,247,no,https://www.facebook.com/La-Garçonne-117127335022717/
316228488429887,& Other Stories,,andotherstories,Clothing (Brand),0.03,264447,1349,yes,https://www.facebook.com/andotherstories/
115057772089,J.Crew,,jcrew,Clothing (Brand),0.02,1776574,6955,no,https://www.facebook.com/jcrew/
190341761036273,COS,,cos,Clothing (Brand),0.03,448843,11410,no,https://www.facebook.com/cos/
181436012037561,Barneys Warehouse,,BarneysWarehouse,Clothing (Brand),0.01,130633,668,no,https://www.facebook.com/BarneysWarehouse/
17182384243,Barneys New York,,BarneysNY,Retail Company,0.13,1261756,3934,no,https://www.facebook.com/BarneysNY/
10936503735,ASOS,,ASOS,Clothing Store,0.05,5330577,27580,yes,https://www.facebook.com/ASOS/
107418161415,Anthropologie,,Anthropologie,Clothing (Brand),0.16,1284562,14180,yes,https://www.facebook.com/Anthropologie/
